,title,keywords,url,,,,,good
5212,Amazing Student Council Campaign Speech,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=USLZNKBd3_A,,,,,
5213,GCHS Student Council Election Speeches - 2017,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=mlYfza6wAeU,,,,,
5214,Student Council Campaign Speeches 2017,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=LfuNqmmWQ2k,,,,,
5215,How To Prepare A Campaign Speech,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=vVvAe97r4E0,,,,,
5216,2016 Treasurer Campaign Speech,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=Jtzmv3gE16M,,,,,
5217,Winning Student Council Elections With A Meme || campaign and speech!,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=xVCyjYeGXTs,,,,,
5218,Leadership Election Speeches,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=Xo4K1bR0A0k,,,,,
5219,6 Public Speaking Tips To Hook Any Audience,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=k8GvTgWtR7o,,,,,
5220,Funniest Leadership Speech ever!,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=SA7bKo4HRTg,,,,,
5221,American History: The Greatest Speeches (1933-2008),mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=vnVwvPpdFeY,,,,,
5222,The Speech that Made Obama President,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=OFPwDe22CoY,,,,,
5223,The Speech that Won Donald Trump the Whitehouse,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=PfJYmJOgnX8,,,,,
5224,Speech that Made Trump President,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=szaKnOhJbow,,,,,
5225,GOP Rep. Mark Amodei talks about Obamacare,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=4f-76EP1qT4,,,,,
5226,2016 Campaign Speech 5th Grade Secretary,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=RbEKdTTLfUc,,,,,
5227,Bernie Sanders Super Tuesday Speech,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=f7MQQ3jrpzQ,,,,,
5228,Carly McDonald Student Council Historian Campaign Speech 2015,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=iwCUNM6-wjM,,,,,
5689,"🔴AMAZING President Trump Speech at Claudia Tenney Fundraiser ln Utica, NY Aug. 13, 2018",claudia+tenney+campaign+speech,https://www.youtube.com/watch?v=iFHUyb5CqZo,,,,,
5690,"SIMPLY AMAZING 🔴 President Trump EXPLOSIVE Speech to Supporters in New York - August 13, 2018",claudia+tenney+campaign+speech,https://www.youtube.com/watch?v=N-ReqYXmaZo,,,,,
5691,Trey's introduction and Claudia's speech,claudia+tenney+campaign+speech,https://www.youtube.com/watch?v=ZmN4rcy5sNY,,,,,
5692,Trump speaks at GOP campaign event in New York,claudia+tenney+campaign+speech,https://www.youtube.com/watch?v=lwypJbQJLsU,,,,,
5693,Claudia Tenney says Trump speech was his most unifying to date,claudia+tenney+campaign+speech,https://www.youtube.com/watch?v=7YNlL_KmGqs,,,,,
5694,President Trump Utica Speech 8/13/18 Anybody That Runs Against Trump Suffers,claudia+tenney+campaign+speech,https://www.youtube.com/watch?v=5nysyFJelJk,,,,,
5695,Trump's Commerce Secretary Faces Massive Corruption Investigation,claudia+tenney+campaign+speech,https://www.youtube.com/watch?v=Nfj1qOExtXc,,,,,
5696,President Trump headlines Claudia Tenney fundraiser,claudia+tenney+campaign+speech,https://www.youtube.com/watch?v=KXaKAYGeB54,,,,,
5697,Trump Stumps for Tenney in Utica,claudia+tenney+campaign+speech,https://www.youtube.com/watch?v=Q8rmghjF5o8,,,,,
5698,Rep. Claudia Tenney,claudia+tenney+campaign+speech,https://www.youtube.com/channel/UCOQKVZSiiz9tkwVXYFuyICw,,,,,
5699,Patriot Prosperity PAC Claudia Tenney Wrong For Us,claudia+tenney+campaign+speech,https://www.youtube.com/watch?v=TansD_JCH8c,,,,,
5700,Claudia Tenney discusses President Trump visit,claudia+tenney+campaign+speech,https://www.youtube.com/watch?v=-61s5IVcN60,,,,,
